"Grupo","Grupo(RAW)","Aparato","Aparato(RAW)","Sensor","Sensor(RAW)","Estado","Estado(RAW)"
"CARRIER HOUSE","CARRIER HOUSE","SWI_sp_mad_C15 (GNF)","SWI_sp_mad_C15 (GNF)","","","Disponible","3"
"CASA ANDIA, S.","CASA ANDIA, S.","F33678_Casa_Andia","F33678_Casa_Andia","","","Pausado","8"
"CASERIO ENDANEA","CASERIO ENDANEA","Antena_Cliente","Antena_Cliente","","","Disponible","3"
"CASERIO ENDANEA","CASERIO ENDANEA","C338232_Caserio_Endanea","C338232_Caserio_Endanea","","","Disponible","3"
"CASINO DE JUEGO GRAN MADRID","CASINO DE JUEGO GRAN MADRID","1-AERGY CASINO DE JUEGO GRAN MADRID 100M Ufinet","1-AERGY CASINO DE JUEGO GRAN MADRID 100M Ufinet","","","Disponible","3"
"CATERMURCIA","CATERMURCIA","328377_Catermurcia","328377_Catermurcia","","","Disponible","3"
"CDG A. HENARES","CDG A. HENARES","GESLICO_CDG_TESA_BCKP","GESLICO_CDG_TESA_BCKP","","","Disponible","3"
"CDG A. HENARES","CDG A. HENARES","GESLICO_CDG_TESA_MAIN","GESLICO_CDG_TESA_MAIN","","","Disponible","3"
"CDG A. HENARES","CDG A. HENARES","ASA_CDG_TFCA_BCKP","ASA_CDG_TFCA_BCKP","","","Disponible","3"
"CDG A. HENARES","CDG A. HENARES","GESLICO_PRI_MOVISTAR (GW_Movistar) [Cisco Device]","GESLICO_PRI_MOVISTAR (GW_Movistar) [Cisco Device]","","","Disponible","3"
"CE Abertis JAIZQUIBEL Multipunto","CE Abertis JAIZQUIBEL Multipunto","CEA Jaizquibel Sector 3","CEA Jaizquibel Sector 3","","","Pausado (pausado)","7"
"CE Abertis JAIZQUIBEL Multipunto","CE Abertis JAIZQUIBEL Multipunto","CEA Jaizquibel Sector 1","CEA Jaizquibel Sector 1","","","Disponible","3"
"CE Abertis JAIZQUIBEL Multipunto","CE Abertis JAIZQUIBEL Multipunto","CEA Jaizquibel Sector 2","CEA Jaizquibel Sector 2","","","Pausado (pausado)","7"
"CE Abertis TIBI - CASTALLA","CE Abertis TIBI - CASTALLA","216321_Marutrade (Marutrade S.L.U.)","216321_Marutrade (Marutrade S.L.U.)","","","Disponible","3"
"CE Abertis TIBI - CASTALLA","CE Abertis TIBI - CASTALLA","AGW_16_TIBI","AGW_16_TIBI","","","Disponible","3"
"CE AXION CARMONA 1","CE AXION CARMONA 1","agw_carmona_#1_IP_Backup_Malaga","agw_carmona_#1_IP_Backup_Malaga","","","Disponible","3"
"CE AXION CARMONA 1","CE AXION CARMONA 1","CEX Valencina - CEX Carmona","CEX Valencina - CEX Carmona","","","Disponible","3"
"CE AXION CARMONA 1","CE AXION CARMONA 1","agw_carmona_#1","agw_carmona_#1","","","Disponible","3"
"CE AXION CARMONA 1","CE AXION CARMONA 1","CEX Carmona - CEX Valencina","CEX Carmona - CEX Valencina","","","Disponible","3"
"CE AXION CARMONA 2","CE AXION CARMONA 2","agw_carmona_#2_IP_Backup_Malaga","agw_carmona_#2_IP_Backup_Malaga","","","Disponible","3"
"CE AXION CARMONA 2","CE AXION CARMONA 2","agw_carmona_#2","agw_carmona_#2","","","Disponible","3"
"CE AXION CONQUERO","CE AXION CONQUERO","AGW_19_CONQUERO","AGW_19_CONQUERO","","","Disponible","3"
"CE AXION CONQUERO","CE AXION CONQUERO","CEX Conquero - CPD Huelva (Antena Conquero)","CEX Conquero - CPD Huelva (Antena Conquero)","","","Disponible","3"
"CE AXION CONQUERO","CE AXION CONQUERO","CPD Huelva - CEX Conquero (CPD Huelva - CE Conquero (Antena CPD ONO Huelva))","CPD Huelva - CEX Conquero (CPD Huelva - CE Conquero (Antena CPD ONO Huelva))","","","Disponible","3"
"CE AXION Gibalbin","CE AXION Gibalbin","CPD Jerez - CE Gibalbin","CPD Jerez - CE Gibalbin","","","Disponible","3"
"CE AXION Gibalbin","CE AXION Gibalbin","SWI_IGMP_06_Gibalbin","SWI_IGMP_06_Gibalbin","","","Disponible","3"
"CE AXION Gibalbin","CE AXION Gibalbin","AGW_23_GIBALBIN","AGW_23_GIBALBIN","","","Disponible","3"
"CE AXION Gibalbin","CE AXION Gibalbin","CE Gibalbin - CPD Jerez","CE Gibalbin - CPD Jerez","","","Disponible","3"
"CE AXION LEPE","CE AXION LEPE","CEX Punta Umbria - CEX Lepe (CEX Lepe - CEX Punta Umbria (Antena CPD Lepe))","CEX Punta Umbria - CEX Lepe (CEX Lepe - CEX Punta Umbria (Antena CPD Lepe))","","","Disponible","3"
"CE AXION LEPE","CE AXION LEPE","AGW_21_LEPE","AGW_21_LEPE","","","Disponible","3"
"CE AXION LEPE","CE AXION LEPE","CEX Punta Umbria - CEX Lepe (Antena CPD Punta Umbria)","CEX Punta Umbria - CEX Lepe (Antena CPD Punta Umbria)","","","Disponible","3"
"CE AXION PUNTA UMBRÍA","CE AXION PUNTA UMBRÍA","CEX Punta Umbria - CEX Conquero (Antena CPD Punta Umbria)","CEX Punta Umbria - CEX Conquero (Antena CPD Punta Umbria)","","","Disponible","3"
"CE AXION PUNTA UMBRÍA","CE AXION PUNTA UMBRÍA","CEX Conquero - CEX Punta Umbria (Antena CPD Conquero)","CEX Conquero - CEX Punta Umbria (Antena CPD Conquero)","","","Disponible","3"
"CE AXION PUNTA UMBRÍA","CE AXION PUNTA UMBRÍA","AGW_20_PUNTAUMBRIA","AGW_20_PUNTAUMBRIA","","","Disponible","3"
"CE AXION San Cristobal","CE AXION San Cristobal","AGW_24 SAN CRISTOBAL","AGW_24 SAN CRISTOBAL","","","Disponible","3"
"CE AXION San Cristobal","CE AXION San Cristobal","CE Gibalbin - CE San Cristobal","CE Gibalbin - CE San Cristobal","","","Disponible","3"
"CE AXION San Cristobal","CE AXION San Cristobal","CE San Cristobal - CE Gibalbin","CE San Cristobal - CE Gibalbin","","","Disponible","3"
"CE PARAPANDA Torre de Carlos de Loja","CE PARAPANDA Torre de Carlos de Loja","AGW_26_Parapanda","AGW_26_Parapanda","","","Disponible","3"
"CE PARAPANDA Torre de Carlos de Loja","CE PARAPANDA Torre de Carlos de Loja","CPD Trevenque - CE Parapanda","CPD Trevenque - CE Parapanda","","","Disponible","3"
